image,path,width_px,height_px,pixel_size_nm,pixel_size_nm_height,field_width_um,field_height_um,source,error
A89 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A89 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A89 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A89 - Site 3.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A89 - Site 3.tif' — fall back to measuring the scale bar.
A89 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A89 - Site 4.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A89 - Site 4.tif' — fall back to measuring the scale bar.
A89 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A89 - Site 5.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A89 - Site 5.tif' — fall back to measuring the scale bar.
A91 - Site 1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A91 - Site 1.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A91 - Site 1.tif' — fall back to measuring the scale bar.
A91 - Site 11.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A91 - Site 11.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A91 - Site 11.tif' — fall back to measuring the scale bar.
A91 - Site 7.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A91 - Site 7.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A91 - Site 7.tif' — fall back to measuring the scale bar.
A94 - Site 12.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A94 - Site 12.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A94 - Site 12.tif' — fall back to measuring the scale bar.
A94 - Site 14.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A94 - Site 14.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A94 - Site 14.tif' — fall back to measuring the scale bar.
A94 - Site 17.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A94 - Site 17.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A94 - Site 17.tif' — fall back to measuring the scale bar.
A94 - Site 23.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A94 - Site 23.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A94 - Site 23.tif' — fall back to measuring the scale bar.
A94 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A94 - Site 4.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A94 - Site 4.tif' — fall back to measuring the scale bar.
A94 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A94 - Site 5.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A94 - Site 5.tif' — fall back to measuring the scale bar.
A94 - Site 9.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A94 - Site 9.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A94 - Site 9.tif' — fall back to measuring the scale bar.
A97 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A97 - Site 3.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A97 - Site 3.tif' — fall back to measuring the scale bar.
a_E200175-12116-L_11.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_11.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_13.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_13.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_14.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_14.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_15.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_15.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_18.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_18.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_19.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_19.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_2.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_21.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_21.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_22.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_22.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_23.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_23.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_24.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_24.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_25.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_25.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_26.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_26.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_3.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_4.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_6.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_6.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_7.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_7.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
a_E200175-12116-L_8.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\a_E200175-12116-L_8.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_1.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_10.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_10.tif,7680,5100,30.338541666666668,30.338541666666668,233.0,154.7265625,databar (visual read: FW=233um),
b_E200175-12116-L_11.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_11.tif,7680,5100,30.338541666666668,30.338541666666668,233.0,154.7265625,databar (visual read: FW=233um),
b_E200175-12116-L_12.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_12.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_13.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_13.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_14.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_14.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_15.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_15.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_16.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_16.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_17.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_17.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_18.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_18.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_19.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_19.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_2.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_20.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_20.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_21.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_21.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_22.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_22.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_23.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_23.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_24.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_24.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_25.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_25.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_26.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_26.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_27.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_27.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_3.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_4.tif,7680,5100,33.723958333333336,33.723958333333336,259.0,171.9921875,databar (visual read: FW=259um),
b_E200175-12116-L_5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_5.tif,7680,5100,30.338541666666668,30.338541666666668,233.0,154.7265625,databar (visual read: FW=233um),
b_E200175-12116-L_6.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_6.tif,7680,5100,30.338541666666668,30.338541666666668,233.0,154.7265625,databar (visual read: FW=233um),
b_E200175-12116-L_7.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\b_E200175-12116-L_7.tif,7680,5100,30.338541666666668,30.338541666666668,233.0,154.7265625,databar (visual read: FW=233um),
C39 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\C39 - Site 4.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\C39 - Site 4.tif' — fall back to measuring the scale bar.
SEMS R15B Sample 2_10.00kV_0.10nA_16.9nm_500.00ns_005.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_10.00kV_0.10nA_16.9nm_500.00ns_005.tif,6144,4096,16.9,16.9,103.8336,69.2224,filename,
SEMS R15B Sample 2_10.00kV_0.10nA_33.7nm_1.00µs_002.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_10.00kV_0.10nA_33.7nm_1.00µs_002.tif,6144,4376,33.7,33.7,207.0528,147.4712,filename,
SEMS R15B Sample 2_10.00kV_0.10nA_33.7nm_1.00µs_003.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_10.00kV_0.10nA_33.7nm_1.00µs_003.tif,6144,4376,33.7,33.7,207.0528,147.4712,filename,
SEMS R15B Sample 2_10.00kV_0.10nA_33.7nm_500.00ns_004.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_10.00kV_0.10nA_33.7nm_500.00ns_004.tif,6144,4096,33.7,33.7,207.0528,138.0352,filename,
SEMS R15B Sample 2_20.00kV_0.10nA_15.0nm_500.00ns_018.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_20.00kV_0.10nA_15.0nm_500.00ns_018.tif,6144,4096,15.0,15.0,92.16,61.44,filename,
SEMS R15B Sample 2_20.00kV_0.10nA_15.0nm_500.00ns_019.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_20.00kV_0.10nA_15.0nm_500.00ns_019.tif,6144,4096,15.0,15.0,92.16,61.44,filename,
SEMS R15B Sample 2_20.00kV_0.10nA_15.0nm_500.00ns_020.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_20.00kV_0.10nA_15.0nm_500.00ns_020.tif,6144,4096,15.0,15.0,92.16,61.44,filename,
SEMS R15B Sample 2_20.00kV_0.10nA_15.0nm_500.00ns_021.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_20.00kV_0.10nA_15.0nm_500.00ns_021.tif,6144,4096,15.0,15.0,92.16,61.44,filename,
SEMS R15B Sample 2_20.00kV_0.10nA_33.7nm_100.00ns_015.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_20.00kV_0.10nA_33.7nm_100.00ns_015.tif,6144,4096,33.7,33.7,207.0528,138.0352,filename,
SEMS R15B Sample 2_20.00kV_0.10nA_33.7nm_500.00ns_017.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_20.00kV_0.10nA_33.7nm_500.00ns_017.tif,6144,4096,33.7,33.7,207.0528,138.0352,filename,
SEMS R15B Sample 2_20.00kV_0.10nA_45.0nm_2.00µs_009.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\SEMS R15B Sample 2_20.00kV_0.10nA_45.0nm_2.00µs_009.tif,6144,4096,45.0,45.0,276.48,184.32,filename,
